
Nom,Telefon,Direccio,Districte,Barri,Ciutat,Codi Postal,Regio,Pais,Lat,Lon,Web,
Bar Restaurant Xiscarexantar,-,-----,Sant Martí,el Parc i la Llacuna del Poblenou,BARCELONA,08018,BARCELONA,ESPANYA,41.396266097222224,2.1922189444444444,-----,
Restaurant Txalaparta,-,-----,Sants-Montjuïc,Sants,BARCELONA,08028,BARCELONA,ESPANYA,41.37554660833333,2.133652861111111,http://www.restaurantetxalaparta.com,
Restaurant Carmelitas,-,-----,Ciutat Vella,el Raval,BARCELONA,08001,BARCELONA,ESPANYA,41.38181298888889,2.1693390555555556,http://www.carmelitas.biz,
Restaurant Torre d'Altamar,-,-----,Ciutat Vella,la Barceloneta,BARCELONA,08039,BARCELONA,ESPANYA,41.37314246111111,2.1879252777777776,http://www.torredealtamar.com,
Centre Garcilaso,-,-----,Sant Andreu,la Sagrera,BARCELONA,08027,BARCELONA,ESPANYA,41.422605125,2.1862141666666663,-----,
Cafeteria The Bagel Shop,-,-----,Gràcia,Gràcia,BARCELONA,08012,BARCELONA,ESPANYA,41.40042602222222,2.1577265555555556,-----,
Gran Casino de Barcelona,-,-----,Ciutat Vella,la Barceloneta,BARCELONA,08005,BARCELONA,ESPANYA,41.38708262222222,2.1965545,-----,
Bar Restaurant Arrel del Born,-,-----,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",BARCELONA,08003,BARCELONA,ESPANYA,41.38636758888889,2.1830243055555556,
Pizza Sapri *Gal.lileu,-,-----,Les Corts,les Corts,BARCELONA,08028,BARCELONA,ESPANYA,41.38615653888889,2.1312494444444443,http://www.pizzasapri.com,
Restaurant Las Fiestas del Convento,-,-----,Ciutat Vella,el Raval,BARCELONA,08001,BARCELONA,ESPANYA,41.38112295,2.1715035277777774,http://www.sebastiangroup.com,
Cerveseria Restaurant Can Xapata,-,-----,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,BARCELONA,08021,BARCELONA,ESPANYA,41.39420846944444,2.1469185,http://www.can-xapata.com,
Restaurant Xinés Memorias de China,-,-----,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,BARCELONA,08006,BARCELONA,ESPANYA,41.400446655555555,2.149914361111111,http://www.memoriasdechina.es,
Restaurant El Rovell del Born,-,-----,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",BARCELONA,08003,BARCELONA,ESPANYA,41.38363045,2.1801911111111107,
Restaurant La General de Tartas,-,-----,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,BARCELONA,08017,BARCELONA,ESPANYA,41.403305394444445,2.1272723055555556,-----,
Restaurant Japonès Sumo *Centre de la Vila,-,-----,Sant Martí,la Vila Olímpica del Poblenou,BARCELONA,08005,BARCELONA,ESPANYA,41.390896519444446,2.1978509444444443,-----,
Restaurant Japonès Sumo *Diagonal Mar,-,-----,Sant Martí,Poble Nou,BARCELONA,08019,BARCELONA,ESPANYA,41.41042665833333,2.2164054444444448,-----,
Restaurant Chido One,-,-----,Gràcia,la Vila de Gràcia,BARCELONA,08012,BARCELONA,ESPANYA,41.40326995555555,2.1590226388888887,http://www.chidoone.com,
Bar Restaurant 12+1 Deport Restaurant,-,-----,Sant Martí,la Vila Olímpica del Poblenou,BARCELONA,08005,BARCELONA,ESPANYA,41.390896519444446,2.1978509444444443,http://www.12mas1.com,
Cerveseria Restaurant Vildsvin,-,-----,Ciutat Vella,el Barri Gòtic,BARCELONA,08002,BARCELONA,ESPANYA,41.381973994444444,2.17633375,-----,
Xiringuito Splashh,-,-----,Ciutat Vella,Barceloneta,BARCELONA,08003,BARCELONA,ESPANYA,41.37586967777778,2.1911498055555554,-----,
Bar El 24,-,-----,Ciutat Vella,el Barri Gòtic,BARCELONA,08002,BARCELONA,ESPANYA,41.38120663888889,2.175372583333333,-----,
Restaurant Va de Vi,-,-----,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",BARCELONA,08003,BARCELONA,ESPANYA,41.38419725,2.1811459166666665,
Museu d'Història de Catalunya,-,-----,Ciutat Vella,la Barceloneta,BARCELONA,08039,BARCELONA,ESPANYA,41.3808077,2.185855722222222,-----,
Restaurant Self-service Polimenú*La Cup,-,-----,Les Corts,Pedralbes,BARCELONA,08034,BARCELONA,ESPANYA,41.38991789166666,2.115375111111111,http://www.restaurantenotable.com,
Restaurant Notable *La Cup,-,-----,Les Corts,Pedralbes,BARCELONA,08034,BARCELONA,ESPANYA,41.387871077777774,2.114651777777778,http://www.restaurantenotable.com,
Restaurant Els Pollos de Llull *Ramon Turró,-,-----,Sant Martí,la Vila Olímpica del Poblenou,BARCELONA,08005,BARCELONA,ESPANYA,41.39104871666667,2.190924222222222,http://www.elspollos.com,
Bar La Confiteria,-,-----,Ciutat Vella,el Raval,BARCELONA,08001,BARCELONA,ESPANYA,41.37548766111111,2.1679224166666664,-----,
Abba Sants Hotel,-,-----,Sants-Montjuïc,Sants,BARCELONA,08029,BARCELONA,ESPANYA,41.38256868055556,2.140019166666667,http://www.abbahoteles.com,
Centro Riojano de Barcelona,-,-----,Ciutat Vella,el Raval,BARCELONA,08001,BARCELONA,ESPANYA,41.38147130833333,2.1673136666666664,-----,
Restaurant Ugarit Bruniquer,-,-----,Gràcia,la Vila de Gràcia,BARCELONA,08024,BARCELONA,ESPANYA,41.40514408333333,2.161355611111111,http://www.ugaritrestaurantsirio.com,
Restaurant Las Guindas,-,-----,Ciutat Vella,el Raval,BARCELONA,08001,BARCELONA,ESPANYA,41.375554372222226,2.168013722222222,-----,
Restaurant Gran Babilonia,-,-----,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,BARCELONA,08021,BARCELONA,ESPANYA,41.39921979166667,2.1411856666666664,-----,
Fàbrica de Creació Ateneu Popular 9 Barris,-,-----,Nou Barris,la Trinitat Nova,BARCELONA,08042,BARCELONA,ESPANYA,41.44960580833333,2.1789486666666664,http://www.ateneu9b.net,
Restaurant Semon *Sta Fe Nou Mèxic,-,-----,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,BARCELONA,08017,BARCELONA,ESPANYA,41.39443801944444,2.1372096666666667,-----,
Cafeteria  Restaurant Living Bar,-,-----,Ciutat Vella,el Barri Gòtic,BARCELONA,08002,BARCELONA,ESPANYA,41.38526237222222,2.1744239999999997,-----,
Restaurant Tapas *Poble Espanyol,-,-----,Sants-Montjuïc,el Poble-sec,BARCELONA,08038,BARCELONA,ESPANYA,41.369117261111114,2.1467245833333335,-----,
Restaurant Bell Amic,-,-----,Ciutat Vella,el Barri Gòtic,BARCELONA,08002,BARCELONA,ESPANYA,41.38151735277778,2.1802831388888886,-----,
Restaurant Frankfurt de l'Olla,-,-----,Gràcia,la Vila de Gràcia,BARCELONA,08012,BARCELONA,ESPANYA,41.402389774999996,2.156769222222222,-----,
El Cafè de Ferran,-,-----,Ciutat Vella,el Barri Gòtic,BARCELONA,08002,BARCELONA,ESPANYA,41.382338394444446,2.176605611111111,-----,
Bar Castells,-,-----,Ciutat Vella,el Raval,BARCELONA,08001,BARCELONA,ESPANYA,41.384119008333336,2.1697938333333333,-----,
